type	panel	sub	length	events	detected	power	junctions	expected_junctions	false_pos	true_frac	obs_frac	shared
inversion	BcgI	0.0	500	40	3	0.0750	6	80	0	0.00431	0.00535	2805
inversion	BcgI	0.0	1000	40	3	0.0750	6	80	0	0.00862	0.00606	2805
inversion	BcgI	0.0	2000	40	15	0.3750	30	80	0	0.01724	0.01712	2804
inversion	BcgI	0.0	4000	40	28	0.7000	56	80	0	0.03447	0.03742	2806
inversion	BcgI	0.0	8000	40	36	0.9000	72	80	0	0.06894	0.06916	2805
inversion	BcgI	0.0	16000	40	39	0.9750	78	80	0	0.13788	0.11939	2806
inversion	BcgI	0.0	32000	40	40	1.0000	80	80	0	0.27576	0.28475	2806
inversion	BcgI	0.0	64000	40	40	1.0000	80	80	0	0.55153	0.53787	2806
inversion	BcgI	0.0	128000	40	40	1.0000	80	80	0	1.10306	1.05731	2806
inversion	BcgI	0.0	256000	40	40	1.0000	80	80	0	2.20611	2.13632	2806
inversion	panel4	0.0	500	40	5	0.1250	10	80	0	0.00431	0.00402	5724
inversion	panel4	0.0	1000	40	15	0.3750	30	80	0	0.00862	0.00751	5725
inversion	panel4	0.0	2000	40	31	0.7750	62	80	0	0.01724	0.01835	5723
inversion	panel4	0.0	4000	40	37	0.9250	74	80	0	0.03447	0.03581	5724
inversion	panel4	0.0	8000	40	40	1.0000	80	80	0	0.06894	0.06989	5723
inversion	panel4	0.0	16000	40	40	1.0000	80	80	0	0.13788	0.12721	5723
inversion	panel4	0.0	32000	40	40	1.0000	80	80	0	0.27576	0.28010	5723
inversion	panel4	0.0	64000	40	40	1.0000	80	80	0	0.55153	0.54803	5726
inversion	panel4	0.0	128000	40	40	1.0000	80	80	0	1.10306	1.06733	5725
inversion	panel4	0.0	256000	40	40	1.0000	80	80	0	2.20611	2.16261	5725
translocation	BcgI	0.0	500	40	14	0.3500	42	120	0	0.00000	0.00000	2805
translocation	BcgI	0.0	1000	40	15	0.3750	45	120	0	0.00000	0.00000	2804
translocation	BcgI	0.0	2000	40	24	0.6000	72	120	0	0.00000	0.00000	2804
translocation	BcgI	0.0	4000	40	33	0.8250	99	120	0	0.00000	0.00000	2803
translocation	BcgI	0.0	8000	40	39	0.9750	117	120	0	0.00000	0.00000	2804
translocation	BcgI	0.0	16000	40	40	1.0000	120	120	0	0.00000	0.00000	2805
translocation	BcgI	0.0	32000	40	40	1.0000	120	207	0	0.00000	0.00000	2806
translocation	BcgI	0.0	64000	40	40	1.0000	120	216	0	0.00000	0.00000	2806
translocation	BcgI	0.0	128000	40	40	1.0000	120	201	0	0.00000	0.00000	2805
translocation	BcgI	0.0	256000	40	40	1.0000	120	306	0	0.00000	0.00000	2806
translocation	panel4	0.0	500	40	19	0.4750	57	120	0	0.00000	0.00000	5725
translocation	panel4	0.0	1000	40	24	0.6000	72	120	0	0.00000	0.00000	5723
translocation	panel4	0.0	2000	40	39	0.9750	117	120	0	0.00000	0.00000	5721
translocation	panel4	0.0	4000	40	39	0.9750	117	120	0	0.00000	0.00000	5725
translocation	panel4	0.0	8000	40	40	1.0000	120	120	0	0.00000	0.00000	5723
translocation	panel4	0.0	16000	40	40	1.0000	120	120	0	0.00000	0.00000	5721
translocation	panel4	0.0	32000	40	40	1.0000	120	216	0	0.00000	0.00000	5726
translocation	panel4	0.0	64000	40	40	1.0000	120	216	0	0.00000	0.00000	5726
translocation	panel4	0.0	128000	40	40	1.0000	120	216	0	0.00000	0.00000	5726
translocation	panel4	0.0	256000	40	40	1.0000	120	303	0	0.00000	0.00000	5726
inversion	BcgI	0.005	2000	40	16	0.4000	32	80	0	0.01724	0.01876	2399
inversion	BcgI	0.005	8000	40	35	0.8750	70	80	0	0.06894	0.06569	2390
inversion	BcgI	0.005	32000	40	40	1.0000	80	80	0	0.27576	0.28335	2414
inversion	BcgI	0.005	128000	40	40	1.0000	80	80	0	1.10306	1.02982	2409
inversion	BcgI	0.01	2000	40	13	0.3250	26	80	0	0.01724	0.01898	2055
inversion	BcgI	0.01	8000	40	37	0.9250	74	80	0	0.06894	0.06204	2047
inversion	BcgI	0.01	32000	40	40	1.0000	80	80	0	0.27576	0.28620	2044
inversion	BcgI	0.01	128000	40	40	1.0000	80	80	0	1.10306	1.11135	2028
inversion	BcgI	0.02	2000	40	6	0.1500	12	80	0	0.01724	0.02104	1426
inversion	BcgI	0.02	8000	40	31	0.7750	62	80	0	0.06894	0.07143	1442
inversion	BcgI	0.02	32000	40	40	1.0000	80	80	0	0.27576	0.28395	1458
inversion	BcgI	0.02	128000	40	40	1.0000	80	80	0	1.10306	1.07030	1484
inversion	BcgI	0.05	2000	40	1	0.0250	2	80	0	0.01724	0.01436	557
inversion	BcgI	0.05	8000	40	8	0.2000	16	80	0	0.06894	0.06077	543
inversion	BcgI	0.05	32000	40	35	0.8750	71	80	0	0.27576	0.26923	572
inversion	BcgI	0.05	128000	40	40	1.0000	83	80	3	1.10306	1.05492	548
inversion	panel4	0.005	2000	40	28	0.7000	56	80	0	0.01724	0.01773	4908
inversion	panel4	0.005	8000	40	40	1.0000	80	80	0	0.06894	0.07154	4934
inversion	panel4	0.005	32000	40	40	1.0000	80	80	0	0.27576	0.28081	4893
inversion	panel4	0.005	128000	40	40	1.0000	80	80	0	1.10306	1.06231	4909
inversion	panel4	0.01	2000	40	26	0.6500	52	80	0	0.01724	0.01742	4190
inversion	panel4	0.01	8000	40	39	0.9750	78	80	0	0.06894	0.07199	4209
inversion	panel4	0.01	32000	40	40	1.0000	80	80	0	0.27576	0.27999	4218
inversion	panel4	0.01	128000	40	40	1.0000	83	80	3	1.10306	1.08001	4226
inversion	panel4	0.02	2000	40	16	0.4000	35	80	3	0.01724	0.01749	3087
inversion	panel4	0.02	8000	40	38	0.9500	76	80	0	0.06894	0.06968	3028
inversion	panel4	0.02	32000	40	40	1.0000	80	80	0	0.27576	0.26904	3085
inversion	panel4	0.02	128000	40	40	1.0000	86	80	6	1.10306	1.07435	3056
inversion	panel4	0.05	2000	40	4	0.1000	11	80	2	0.01724	0.01523	1182
inversion	panel4	0.05	8000	40	24	0.6000	49	80	0	0.06894	0.06607	1226
inversion	panel4	0.05	32000	40	40	1.0000	88	80	8	0.27576	0.28232	1222
inversion	panel4	0.05	128000	40	40	1.0000	86	80	6	1.10306	1.01918	1254
